
======================================================================
Training started
======================================================================
  step  6500/10000 | epoch 250 | loss=5.6327 mel=0.3757 dur=0.5007 pitch=0.5273 energy=0.8494 | lr=0.000184 | 0.6 step/s
  step  6600/10000 | epoch 254 | loss=7.2507 mel=0.3666 dur=0.8742 pitch=0.4889 energy=0.7675 | lr=0.000179 | 0.6 step/s
  step  6700/10000 | epoch 258 | loss=6.6993 mel=0.3549 dur=0.7661 pitch=0.4396 energy=0.8174 | lr=0.000174 | 0.6 step/s
  step  6800/10000 | epoch 262 | loss=6.6675 mel=0.3619 dur=0.7657 pitch=0.4225 energy=0.8160 | lr=0.000168 | 0.6 step/s
  step  6900/10000 | epoch 266 | loss=6.6008 mel=0.3228 dur=0.7795 pitch=0.4201 energy=0.7703 | lr=0.000163 | 0.6 step/s
  step  7000/10000 | epoch 270 | loss=6.9023 mel=0.3723 dur=0.8005 pitch=0.4767 energy=0.7871 | lr=0.000158 | 0.6 step/s
  step  7100/10000 | epoch 274 | loss=5.8324 mel=0.3359 dur=0.6090 pitch=0.4318 energy=0.7939 | lr=0.000153 | 0.6 step/s
  step  7200/10000 | epoch 277 | loss=6.0360 mel=0.3385 dur=0.5982 pitch=0.5263 energy=0.8270 | lr=0.000147 | 0.6 step/s
  step  7300/10000 | epoch 281 | loss=6.4198 mel=0.3467 dur=0.6784 pitch=0.5082 energy=0.8325 | lr=0.000142 | 0.6 step/s
  step  7400/10000 | epoch 285 | loss=6.0251 mel=0.3289 dur=0.6326 pitch=0.4569 energy=0.8096 | lr=0.000137 | 0.6 step/s
  step  7500/10000 | epoch 289 | loss=6.1335 mel=0.3320 dur=0.6811 pitch=0.3806 energy=0.8173 | lr=0.000132 | 0.6 step/s
  step  7600/10000 | epoch 293 | loss=5.7415 mel=0.3284 dur=0.5906 pitch=0.4194 energy=0.8108 | lr=0.000126 | 0.6 step/s
  step  7700/10000 | epoch 297 | loss=5.8937 mel=0.3266 dur=0.5735 pitch=0.5223 energy=0.8274 | lr=0.000121 | 0.6 step/s
  step  7800/10000 | epoch 300 | loss=5.5836 mel=0.3460 dur=0.5455 pitch=0.4568 energy=0.7982 | lr=0.000116 | 0.6 step/s
  step  7900/10000 | epoch 304 | loss=5.7482 mel=0.3531 dur=0.6058 pitch=0.3665 energy=0.8166 | lr=0.000111 | 0.6 step/s
  step  8000/10000 | epoch 308 | loss=5.9442 mel=0.3332 dur=0.5884 pitch=0.4977 energy=0.8368 | lr=0.000105 | 0.6 step/s
  >> Saved checkpoint: fs2_step8000.pt
  step  8100/10000 | epoch 312 | loss=6.1311 mel=0.3428 dur=0.6946 pitch=0.3816 energy=0.7762 | lr=0.000100 | 0.6 step/s
  step  8200/10000 | epoch 316 | loss=6.5969 mel=0.3161 dur=0.7655 pitch=0.4457 energy=0.7811 | lr=0.000095 | 0.6 step/s
  step  8300/10000 | epoch 320 | loss=6.5510 mel=0.3236 dur=0.7757 pitch=0.4379 energy=0.7365 | lr=0.000089 | 0.6 step/s
  step  8400/10000 | epoch 324 | loss=7.2541 mel=0.3001 dur=0.8996 pitch=0.4929 energy=0.7351 | lr=0.000084 | 0.6 step/s
  step  8500/10000 | epoch 327 | loss=6.5244 mel=0.3330 dur=0.7354 pitch=0.4575 energy=0.7997 | lr=0.000079 | 0.6 step/s
  step  8600/10000 | epoch 331 | loss=7.6584 mel=0.3174 dur=0.9751 pitch=0.5079 energy=0.7249 | lr=0.000074 | 0.6 step/s
  step  8700/10000 | epoch 335 | loss=6.9011 mel=0.3376 dur=0.8187 pitch=0.4510 energy=0.7839 | lr=0.000068 | 0.6 step/s
  step  8800/10000 | epoch 339 | loss=6.7633 mel=0.3080 dur=0.7856 pitch=0.4799 energy=0.7838 | lr=0.000063 | 0.6 step/s
  step  8900/10000 | epoch 343 | loss=5.6307 mel=0.3084 dur=0.5351 pitch=0.4459 energy=0.8775 | lr=0.000058 | 0.6 step/s
  step  9000/10000 | epoch 347 | loss=5.9221 mel=0.3270 dur=0.6415 pitch=0.3718 energy=0.8220 | lr=0.000053 | 0.6 step/s
  step  9100/10000 | epoch 350 | loss=5.9959 mel=0.3362 dur=0.6421 pitch=0.4344 energy=0.7902 | lr=0.000050 | 0.6 step/s
  step  9200/10000 | epoch 354 | loss=7.0451 mel=0.3301 dur=0.8687 pitch=0.3944 energy=0.7914 | lr=0.000050 | 0.6 step/s
  step  9300/10000 | epoch 358 | loss=5.3247 mel=0.3135 dur=0.4823 pitch=0.4663 energy=0.8336 | lr=0.000050 | 0.6 step/s
  step  9400/10000 | epoch 362 | loss=6.7711 mel=0.3005 dur=0.7973 pitch=0.4501 energy=0.7919 | lr=0.000050 | 0.6 step/s
  step  9500/10000 | epoch 366 | loss=6.9852 mel=0.3265 dur=0.8247 pitch=0.4754 energy=0.7921 | lr=0.000050 | 0.6 step/s
  step  9600/10000 | epoch 370 | loss=6.2692 mel=0.2996 dur=0.6795 pitch=0.4842 energy=0.8018 | lr=0.000050 | 0.6 step/s
  step  9700/10000 | epoch 374 | loss=6.4161 mel=0.3378 dur=0.7547 pitch=0.4000 energy=0.7524 | lr=0.000050 | 0.6 step/s
  step  9800/10000 | epoch 377 | loss=6.7922 mel=0.3122 dur=0.7742 pitch=0.4909 energy=0.8135 | lr=0.000050 | 0.6 step/s
